worker,task,answer
4.0,1,1
4.0,2,0
4.0,8,0
4.0,12,1
4.0,14,1
4.0,28,1
4.0,30,0
4.0,31,1
4.0,40,0
4.0,44,1
4.0,45,0
4.0,47,0
5.0,0,1
5.0,11,0
5.0,14,1
5.0,15,1
5.0,16,0
5.0,17,1
5.0,18,0
5.0,19,0
5.0,20,1
5.0,21,0
5.0,24,1
5.0,26,0
5.0,27,0
5.0,29,1
5.0,36,0
9.0,4,0
9.0,6,0
9.0,13,0
9.0,14,1
9.0,23,0
9.0,26,1
9.0,31,0
9.0,32,1
9.0,34,1
9.0,37,1
9.0,41,0
9.0,48,1
9.0,49,1
12.0,2,0
12.0,4,1
12.0,8,0
12.0,10,1
12.0,15,1
12.0,16,0
12.0,20,0
12.0,22,1
12.0,24,0
12.0,26,1
12.0,27,1
12.0,29,1
12.0,31,1
12.0,33,0
12.0,44,1
16.0,2,0
16.0,7,1
16.0,13,1
16.0,16,0
16.0,17,1
16.0,21,1
16.0,23,0
16.0,29,1
16.0,33,0
16.0,35,0
16.0,36,1
16.0,37,0
16.0,40,0
16.0,42,0
16.0,43,1
16.0,47,0
16.0,49,0
17.0,1,0
17.0,4,1
17.0,10,0
17.0,12,0
17.0,13,0
17.0,20,0
17.0,23,0
17.0,26,0
17.0,27,1
17.0,30,0
17.0,33,0
17.0,34,0
17.0,36,1
17.0,46,0
17.0,47,0
19.0,0,0
19.0,2,0
19.0,3,1
19.0,6,1
19.0,7,1
19.0,12,1
19.0,13,1
19.0,15,0
19.0,17,0
19.0,21,1
19.0,25,0
19.0,27,1
19.0,30,1
19.0,33,0
19.0,35,0
19.0,37,1
19.0,38,0
19.0,49,1
24.0,0,1
24.0,4,1
24.0,8,1
24.0,9,0
24.0,13,0
24.0,14,1
24.0,16,1
24.0,23,1
24.0,30,0
24.0,31,0
24.0,33,1
24.0,35,0
24.0,37,0
24.0,40,0
24.0,41,1
24.0,46,0
24.0,47,0
24.0,48,0
28.0,3,0
28.0,4,0
28.0,7,1
28.0,12,0
28.0,13,1
28.0,18,0
28.0,21,0
28.0,25,0
28.0,28,1
28.0,29,0
28.0,35,0
28.0,39,0
28.0,42,1
28.0,43,0
28.0,45,1
28.0,46,0
31.0,7,0
31.0,9,0
31.0,10,0
31.0,11,0
31.0,13,1
31.0,18,1
31.0,22,1
31.0,23,1
31.0,24,1
31.0,26,0
31.0,29,1
31.0,31,1
31.0,32,0
31.0,33,1
31.0,36,1
31.0,37,1
31.0,39,1
31.0,40,0
31.0,42,1
31.0,43,0
31.0,46,0
31.0,49,0
32.0,1,0
32.0,4,0
32.0,8,0
32.0,10,0
32.0,15,0
32.0,16,1
32.0,22,0
32.0,24,0
32.0,25,0
32.0,29,0
32.0,33,1
32.0,43,0
32.0,48,1
32.0,49,0
35.0,12,0
35.0,20,1
35.0,21,1
35.0,23,0
35.0,25,0
35.0,27,1
35.0,35,1
35.0,39,0
35.0,43,0
36.0,0,1
36.0,3,0
36.0,6,1
36.0,9,0
36.0,10,0
36.0,12,1
36.0,13,0
36.0,16,1
36.0,17,1
36.0,18,0
36.0,19,1
36.0,23,0
36.0,28,1
36.0,32,1
36.0,33,1
36.0,37,0
36.0,38,0
36.0,43,0
37.0,2,0
37.0,3,0
37.0,10,0
37.0,12,1
37.0,13,1
37.0,16,1
37.0,17,0
37.0,19,0
37.0,20,0
37.0,22,0
37.0,23,0
37.0,24,0
37.0,26,0
37.0,27,1
37.0,31,1
37.0,43,1
37.0,49,0
40.0,1,0
40.0,12,1
40.0,19,1
40.0,20,1
40.0,24,0
40.0,28,0
40.0,30,0
40.0,34,0
40.0,36,0
40.0,41,1
40.0,48,0
51.0,9,1
51.0,10,1
51.0,16,1
51.0,21,1
51.0,23,1
51.0,35,0
51.0,38,1
51.0,41,1
51.0,42,0
51.0,45,1
51.0,48,1
51.0,49,0
57.0,1,0
57.0,3,1
57.0,4,0
57.0,8,1
57.0,13,0
57.0,18,0
57.0,19,0
57.0,23,0
57.0,33,1
57.0,35,1
57.0,37,0
57.0,38,0
57.0,40,1
57.0,42,1
57.0,45,0
57.0,46,0
61.0,1,0
61.0,2,0
61.0,4,0
61.0,9,0
61.0,12,0
61.0,14,0
61.0,27,1
61.0,31,1
61.0,38,0
61.0,48,1
62.0,0,0
62.0,1,0
62.0,3,0
62.0,6,1
62.0,10,1
62.0,12,1
62.0,20,0
62.0,28,0
62.0,31,0
62.0,41,0
62.0,46,0
64.0,0,1
64.0,5,1
64.0,14,1
64.0,15,0
64.0,20,0
64.0,24,1
64.0,29,0
64.0,32,1
64.0,33,0
64.0,36,1
64.0,37,1
64.0,38,0
64.0,39,0
64.0,40,1
64.0,44,0
64.0,45,1
64.0,46,0
65.0,3,1
65.0,4,0
65.0,6,1
65.0,9,0
65.0,10,0
65.0,12,1
65.0,13,0
65.0,14,1
65.0,15,0
65.0,16,1
65.0,28,0
65.0,31,0
65.0,36,0
65.0,39,1
65.0,41,0
66.0,0,0
66.0,3,1
66.0,12,0
66.0,14,1
66.0,15,0
66.0,19,1
66.0,20,1
66.0,22,0
66.0,23,0
66.0,28,1
66.0,29,0
66.0,30,0
66.0,31,1
66.0,33,0
66.0,34,1
66.0,37,1
66.0,38,0
66.0,41,0
66.0,44,1
66.0,45,0
66.0,46,0
66.0,49,1
68.0,2,0
68.0,5,0
68.0,7,0
68.0,9,1
68.0,13,1
68.0,16,1
68.0,21,1
68.0,24,1
68.0,27,0
68.0,29,0
68.0,37,0
68.0,40,0
68.0,42,0
68.0,47,1
68.0,48,1
68.0,49,0
71.0,0,0
71.0,4,1
71.0,11,1
71.0,19,1
71.0,20,1
71.0,23,0
71.0,25,0
71.0,27,1
71.0,28,1
71.0,29,1
71.0,31,1
71.0,35,1
71.0,39,1
71.0,41,1
71.0,43,0
71.0,44,1
73.0,1,0
73.0,3,0
73.0,4,0
73.0,9,0
73.0,10,0
73.0,11,1
73.0,13,1
73.0,25,0
73.0,26,0
73.0,27,1
73.0,30,0
73.0,31,1
73.0,33,0
73.0,34,0
73.0,39,1
73.0,40,1
73.0,42,0
73.0,45,0
73.0,47,0
73.0,48,0
73.0,49,0
74.0,0,1
74.0,4,1
74.0,6,1
74.0,13,0
74.0,14,0
74.0,15,0
74.0,19,1
74.0,22,0
74.0,25,1
74.0,26,0
74.0,32,0
74.0,34,1
74.0,35,1
74.0,37,0
74.0,38,1
74.0,39,1
74.0,44,1
74.0,48,1
74.0,49,1
77.0,3,0
77.0,4,0
77.0,6,1
77.0,7,0
77.0,15,1
77.0,25,1
77.0,26,1
77.0,28,1
77.0,32,0
77.0,33,0
77.0,34,1
77.0,37,1
77.0,40,0
80.0,0,0
80.0,2,0
80.0,4,1
80.0,5,1
80.0,6,0
80.0,7,0
80.0,12,0
80.0,14,0
80.0,16,1
80.0,18,0
80.0,19,0
80.0,22,1
80.0,26,1
80.0,29,1
80.0,30,0
80.0,38,0
80.0,40,1
80.0,44,1
83.0,1,1
83.0,9,1
83.0,11,0
83.0,12,1
83.0,16,1
83.0,18,1
83.0,19,0
83.0,20,0
83.0,21,0
83.0,22,0
83.0,28,1
83.0,33,0
83.0,36,1
83.0,38,0
83.0,41,1
83.0,49,0
85.0,6,1
85.0,9,0
85.0,11,0
85.0,13,1
85.0,15,0
85.0,22,0
85.0,23,0
85.0,25,1
85.0,28,1
85.0,31,1
85.0,32,0
85.0,35,0
85.0,37,0
85.0,40,0
85.0,46,0
85.0,49,0
94.0,2,0
94.0,11,1
94.0,15,0
94.0,16,1
94.0,20,1
94.0,22,0
94.0,29,0
94.0,30,1
94.0,33,1
94.0,34,0
94.0,40,0
94.0,41,0
94.0,43,0
98.0,2,0
98.0,3,1
98.0,4,1
98.0,7,0
98.0,11,1
98.0,12,1
98.0,15,0
98.0,16,1
98.0,22,0
98.0,24,1
98.0,25,0
98.0,28,1
98.0,32,0
98.0,33,1
98.0,36,0
98.0,39,1
98.0,43,0
103.0,1,0
103.0,2,0
103.0,7,1
103.0,8,0
103.0,11,1
103.0,14,0
103.0,19,1
103.0,20,1
103.0,22,0
103.0,25,1
103.0,26,0
103.0,28,1
103.0,31,1
103.0,32,1
103.0,33,1
103.0,34,0
103.0,36,0
103.0,38,1
103.0,43,0
103.0,46,0
103.0,48,1
104.0,0,0
104.0,1,0
104.0,3,1
104.0,8,1
104.0,10,0
104.0,15,0
104.0,17,0
104.0,22,0
104.0,26,0
104.0,27,1
104.0,32,0
104.0,33,1
104.0,35,1
104.0,38,0
104.0,39,0
104.0,40,1
104.0,41,1
104.0,45,0
104.0,46,0
104.0,48,1
105.0,3,1
105.0,6,1
105.0,8,0
105.0,15,0
105.0,18,1
105.0,19,1
105.0,21,1
105.0,23,0
105.0,26,1
105.0,31,1
105.0,33,1
105.0,35,1
105.0,36,0
105.0,44,1
105.0,45,0
105.0,48,1
108.0,2,0
108.0,9,0
108.0,17,0
108.0,20,1
108.0,21,1
108.0,22,1
108.0,23,1
108.0,24,1
108.0,27,0
108.0,32,1
108.0,37,1
108.0,39,1
108.0,46,1
108.0,49,1
109.0,0,1
109.0,1,1
109.0,7,0
109.0,16,1
109.0,17,1
109.0,19,1
109.0,20,0
109.0,21,1
109.0,23,0
109.0,24,0
109.0,25,1
109.0,26,0
109.0,29,1
109.0,31,1
109.0,34,1
109.0,47,0
110.0,2,1
110.0,3,1
110.0,4,0
110.0,8,0
110.0,14,0
110.0,22,1
110.0,24,0
110.0,25,1
110.0,27,0
110.0,30,0
110.0,32,0
110.0,42,0
110.0,47,0
114.0,1,1
114.0,5,0
114.0,9,0
114.0,11,1
114.0,13,0
114.0,14,1
114.0,15,0
114.0,18,0
114.0,20,1
114.0,25,0
114.0,27,1
114.0,28,0
114.0,30,0
114.0,33,1
114.0,34,0
114.0,40,0
114.0,41,0
114.0,43,0
114.0,44,1
114.0,45,0
114.0,49,1
115.0,1,0
115.0,3,0
115.0,8,1
115.0,11,0
115.0,13,0
115.0,14,1
115.0,15,0
115.0,17,0
115.0,20,0
115.0,25,0
115.0,35,1
115.0,37,1
115.0,38,1
115.0,40,0
115.0,42,0
115.0,45,1
115.0,46,1
115.0,48,0
117.0,0,0
117.0,2,0
117.0,3,1
117.0,6,1
117.0,7,0
117.0,10,0
117.0,12,0
117.0,13,1
117.0,22,0
117.0,28,1
117.0,29,0
117.0,31,0
117.0,33,1
117.0,34,1
117.0,35,1
117.0,36,0
117.0,38,0
117.0,41,1
117.0,47,1
120.0,0,1
120.0,2,0
120.0,3,1
120.0,5,0
120.0,6,1
120.0,8,0
120.0,14,1
120.0,16,0
120.0,20,0
120.0,21,0
120.0,22,0
120.0,27,0
120.0,29,1
120.0,32,0
120.0,35,1
120.0,41,0
120.0,46,0
120.0,47,0
121.0,5,1
121.0,11,1
121.0,12,1
121.0,13,1
121.0,19,1
121.0,23,1
121.0,27,1
121.0,29,1
121.0,32,0
121.0,34,0
121.0,36,0
121.0,41,1
121.0,42,0
121.0,43,1
121.0,46,1
121.0,47,0
122.0,2,1
122.0,4,0
122.0,7,0
122.0,16,1
122.0,17,1
122.0,20,0
122.0,21,0
