Day,MSE_mu,Accuracy
Day 0,0.04030374300506088,0.64
Day 1,0.02688599770753211,0.72
Day 2,0.012607851513258453,0.88
Day 3,0.013715606758706174,0.74
Day 4,0.02039464142958052,0.7
Day 5,0.016518358477568152,0.86
Day 6,0.008760122567885264,0.82
Day 7,0.010111950948606748,0.8
Day 8,0.015454965665624987,0.8
Day 9,0.009908831956554199,0.76
Day 10,0.013667595156333253,0.78
Day 11,0.009226536771951337,0.76
Day 12,0.008735607412022055,0.84
Day 13,0.00655396110252808,0.88
Day 14,0.007354244926310883,0.84
Day 15,0.007488727518570097,0.82
Day 16,0.007084612406868135,0.92
Day 17,0.0054533212782149395,0.84
Day 18,0.004100778551063969,0.88
Day 19,0.006030987525443326,0.78
