Day,MSE_mu,Accuracy
Day 0,0.024465753712038706,0.68
Day 1,0.023405846029265872,0.82
Day 2,0.02918341598497482,0.8
Day 3,0.016028508480582713,0.88
Day 4,0.02934914838210524,0.7
Day 5,0.028479582316904485,0.76
Day 6,0.017012819712094427,0.86
Day 7,0.028133640648482464,0.74
Day 8,0.01980381168094071,0.76
Day 9,0.01737843013670727,0.8
Day 10,0.020587651372363243,0.8
Day 11,0.034127369717114914,0.58
Day 12,0.01546755986909447,0.84
Day 13,0.02950768321390081,0.8
Day 14,0.04191837559669663,0.62
Day 15,0.031273313268431,0.7
Day 16,0.034928006101297746,0.64
Day 17,0.017225966617996472,0.9
Day 18,0.02227167466231239,0.78
Day 19,0.028604093150571722,0.74
