worker,task,answer
A1JTOT0DWM6QGL,19,0
A25CRC4AZY5KC1,19,0
A2AWCNQUUXWYT0,19,0
A2BTR0GQ5B5JI6,19,0
A2QJU93US627QI,19,0
A2VL24C5P7Y3DJ,19,0
A31OCN4MNHUQ6W,19,0
A3MA9V9UPGCOK7,19,0
A3N8SU0BDM9N36,19,0
AJSJVK40F5HM6,19,0
A21A79J5ZWD42K,56,0
A2AJO7WHWIKEHR,56,1
A2BTR0GQ5B5JI6,56,0
A2JP3HEL3J25AJ,56,0
A32W20KGQXS0LL,56,1
A3FN8S0N5JNAL6,56,0
A3N8SU0BDM9N36,56,0
A3NN88JE3JU6SK,56,0
A4X14HN0F6KVW,56,3
ARQCISK0K4ZGA,56,3
A1DCIXV1JC91MY,95,0
A1JTOT0DWM6QGL,95,0
A2U0R4X38GUKZE,95,0
A2VL24C5P7Y3DJ,95,1
A3GE97GX3OXJTW,95,0
ALAGGMJ7UZZKJ,95,0
AMOMADKDPO6R5,95,0
APYV9Y0DFZFVP,95,0
ATVALOQVDCMZW,95,0
AZSDW7JJL5VA7,95,0
A12RE8G66WTO8B,108,0
A153PKAL7OAY36,108,0
A20PWAB7G3HDHU,108,0
A22C0PJUBFJTI0,108,0
A270HOAHEVIFW0,108,0
A28ZHJ9ASQ49IY,108,0
A31OCN4MNHUQ6W,108,0
A3GE97GX3OXJTW,108,0
ATVALOQVDCMZW,108,0
A153PKAL7OAY36,114,2
A21A79J5ZWD42K,114,0
A21T6EF3XC7UMT,114,0
A2ITXTZLLTI4GO,114,1
A2U0R4X38GUKZE,114,1
A31OCN4MNHUQ6W,114,0
A3NN88JE3JU6SK,114,0
AJSJVK40F5HM6,114,1
APYV9Y0DFZFVP,114,0
AZ1S5BIG5R6P6,114,0
A21A79J5ZWD42K,162,0
A28ZHJ9ASQ49IY,162,0
A2AJO7WHWIKEHR,162,0
A2BTR0GQ5B5JI6,162,0
A2JP3HEL3J25AJ,162,0
A2PPUWIXQTM43F,162,0
A31OCN4MNHUQ6W,162,0
A3MA9V9UPGCOK7,162,0
APYV9Y0DFZFVP,162,0
AS51L372B5DDV,162,0
A153PKAL7OAY36,213,0
A1DCIXV1JC91MY,213,0
A1HIXWH4OXT8S4,213,0
A270HOAHEVIFW0,213,0
A31OCN4MNHUQ6W,213,0
A3220HG1O83HQ4,213,0
A361QEE8R11VE1,213,0
A3N8SU0BDM9N36,213,0
ATVALOQVDCMZW,213,0
A12RE8G66WTO8B,230,0
A153PKAL7OAY36,230,0
A22C0PJUBFJTI0,230,0
A25LQC7UPMAADF,230,0
A2FDPXPDSAUVUA,230,0
A31OCN4MNHUQ6W,230,0
A3GE97GX3OXJTW,230,0
ALAGGMJ7UZZKJ,230,0
APYV9Y0DFZFVP,230,0
AZSDW7JJL5VA7,230,0
A18OUQ869740XV,231,0
A2ITXTZLLTI4GO,231,0
A2QJU93US627QI,231,0
A31OCN4MNHUQ6W,231,0
A3JMQDTEKRE5X6,231,0
A3MU5NDVE8YATT,231,3
A4X14HN0F6KVW,231,1
AY56VAS30RO23,231,0
AZ1S5BIG5R6P6,231,0
AZSDW7JJL5VA7,231,0
A153PKAL7OAY36,239,0
A1JTOT0DWM6QGL,239,0
A22C0PJUBFJTI0,239,0
A31OCN4MNHUQ6W,239,0
A3FN8S0N5JNAL6,239,0
A3GE97GX3OXJTW,239,0
A3N8SU0BDM9N36,239,0
AOUMYCLO4I993,239,0
APYV9Y0DFZFVP,239,0
ATVALOQVDCMZW,239,0
A21A79J5ZWD42K,250,0
A28ZHJ9ASQ49IY,250,0
A2JP3HEL3J25AJ,250,0
A2PPUWIXQTM43F,250,0
A31OCN4MNHUQ6W,250,0
A3GE97GX3OXJTW,250,0
A3MA9V9UPGCOK7,250,0
A3UOD54TVFR258,250,0
ALDSIOBRWMZSI,250,0
AZSDW7JJL5VA7,250,0
A12RE8G66WTO8B,262,0
A1M0SEWUJYX9K0,262,0
A22C0PJUBFJTI0,262,0
A270HOAHEVIFW0,262,0
A2BTR0GQ5B5JI6,262,0
A3MU5NDVE8YATT,262,1
A3Q4QP33S9QT2S,262,0
AC0YIZF6G5V9G,262,0
AMD9GAZO9NECR,262,0
ATVALOQVDCMZW,262,0
A153PKAL7OAY36,276,3
A23YQUBXZPKILZ,276,3
A25CRC4AZY5KC1,276,3
A2AJO7WHWIKEHR,276,3
A2BTR0GQ5B5JI6,276,3
A3220HG1O83HQ4,276,3
A3GE97GX3OXJTW,276,3
A3MA9V9UPGCOK7,276,3
APYV9Y0DFZFVP,276,3
AZSDW7JJL5VA7,276,3
