worker,task,answer
2.0,4,0
2.0,7,0
2.0,9,1
2.0,11,0
2.0,17,1
2.0,24,0
2.0,26,1
2.0,28,1
2.0,32,0
2.0,39,1
2.0,46,1
4.0,4,0
4.0,10,1
4.0,12,0
4.0,17,0
4.0,18,1
4.0,20,0
4.0,27,1
4.0,28,0
4.0,31,1
4.0,34,0
4.0,40,0
4.0,42,1
4.0,44,0
4.0,45,1
6.0,1,1
6.0,3,1
6.0,6,1
6.0,9,1
6.0,11,0
6.0,14,0
6.0,23,0
6.0,32,0
6.0,34,1
6.0,36,0
6.0,39,1
6.0,43,0
6.0,45,1
6.0,47,0
7.0,1,1
7.0,6,0
7.0,12,0
7.0,13,1
7.0,17,0
7.0,26,0
7.0,46,1
13.0,9,1
13.0,10,0
13.0,12,0
13.0,19,1
13.0,20,0
13.0,21,0
13.0,22,0
13.0,23,0
13.0,24,0
13.0,33,0
13.0,34,1
13.0,36,1
13.0,41,1
13.0,46,1
19.0,1,1
19.0,4,0
19.0,7,1
19.0,10,0
19.0,14,1
19.0,20,0
19.0,21,0
19.0,30,0
19.0,33,0
19.0,39,1
19.0,47,1
20.0,3,0
20.0,8,1
20.0,18,0
20.0,20,1
20.0,22,1
20.0,29,1
20.0,34,0
20.0,35,0
20.0,43,1
20.0,44,0
20.0,47,0
21.0,0,0
21.0,9,1
21.0,18,1
21.0,19,1
21.0,27,0
21.0,35,1
21.0,40,0
21.0,45,1
23.0,2,0
23.0,14,1
23.0,15,0
23.0,16,1
23.0,17,1
23.0,26,0
23.0,33,0
23.0,35,0
23.0,40,1
23.0,45,1
23.0,47,1
24.0,1,0
24.0,4,0
24.0,8,0
24.0,12,0
24.0,14,1
24.0,16,0
24.0,22,1
24.0,26,1
24.0,39,1
24.0,44,1
24.0,45,1
27.0,0,0
27.0,3,1
27.0,9,1
27.0,13,1
27.0,17,0
27.0,30,0
27.0,34,1
27.0,37,1
27.0,38,1
27.0,46,0
28.0,5,0
28.0,9,0
28.0,12,0
28.0,13,1
28.0,19,0
28.0,26,1
28.0,28,1
28.0,45,1
28.0,49,0
36.0,1,0
36.0,9,1
36.0,10,0
36.0,11,1
36.0,15,1
36.0,17,1
36.0,25,1
36.0,27,1
36.0,33,1
36.0,41,1
36.0,45,1
42.0,4,0
42.0,12,0
42.0,15,1
42.0,17,1
42.0,18,1
42.0,34,1
42.0,38,1
42.0,43,1
43.0,1,1
43.0,8,1
43.0,17,1
43.0,24,0
43.0,28,0
43.0,29,1
43.0,30,1
43.0,33,1
43.0,36,1
43.0,37,1
43.0,45,1
45.0,3,1
45.0,6,0
45.0,12,0
45.0,22,1
45.0,25,0
45.0,26,0
45.0,27,1
45.0,37,0
45.0,39,1
45.0,46,1
49.0,0,0
49.0,2,0
49.0,6,1
49.0,7,1
49.0,10,1
49.0,13,1
49.0,14,1
49.0,23,1
49.0,29,0
49.0,30,0
49.0,33,0
49.0,34,1
49.0,44,0
49.0,45,0
49.0,46,1
49.0,48,1
52.0,3,1
52.0,4,1
