worker,task,answer
0.0,2,1
0.0,6,0
0.0,13,0
0.0,21,1
0.0,22,1
0.0,23,1
0.0,27,0
0.0,31,1
0.0,35,1
0.0,39,1
0.0,44,1
3.0,13,1
3.0,14,1
3.0,16,1
3.0,17,0
3.0,19,1
3.0,21,0
3.0,28,1
3.0,37,0
9.0,0,0
9.0,5,1
9.0,16,1
9.0,27,0
9.0,28,0
9.0,33,0
9.0,34,1
9.0,40,1
15.0,0,1
15.0,3,1
15.0,21,0
15.0,28,0
15.0,32,1
15.0,38,0
15.0,39,1
15.0,40,1
15.0,44,0
15.0,46,1
15.0,47,1
15.0,49,0
25.0,3,0
25.0,27,0
25.0,31,1
25.0,44,0
25.0,45,1
25.0,48,0
25.0,49,1
35.0,8,0
35.0,17,0
35.0,19,1
35.0,26,1
35.0,30,1
35.0,32,0
35.0,34,0
35.0,35,0
35.0,46,0
44.0,4,0
44.0,5,1
44.0,11,0
44.0,12,1
44.0,14,0
44.0,16,1
44.0,17,1
44.0,24,1
44.0,25,1
44.0,26,0
44.0,29,0
44.0,31,1
44.0,33,0
44.0,40,1
44.0,46,1
44.0,48,0
44.0,49,1
45.0,1,1
45.0,5,1
45.0,10,0
45.0,19,1
45.0,22,1
45.0,25,0
45.0,39,1
45.0,44,0
45.0,47,0
47.0,6,0
47.0,7,0
47.0,9,0
47.0,17,1
47.0,20,0
47.0,21,0
47.0,25,0
47.0,27,0
47.0,39,1
47.0,41,0
47.0,47,1
68.0,10,1
68.0,21,1
68.0,22,0
68.0,38,0
68.0,40,0
68.0,41,1
68.0,46,0
71.0,1,1
71.0,3,1
71.0,7,1
71.0,8,1
71.0,9,1
71.0,12,1
71.0,15,0
71.0,20,0
71.0,21,0
71.0,23,1
71.0,38,0
71.0,39,0
71.0,41,0
71.0,42,1
71.0,44,1
71.0,45,1
71.0,49,1
72.0,1,0
72.0,14,0
72.0,16,1
72.0,18,1
72.0,21,1
72.0,24,0
72.0,27,0
72.0,28,1
72.0,32,1
72.0,40,0
72.0,41,0
80.0,0,1
80.0,7,1
80.0,11,1
80.0,17,1
80.0,20,1
80.0,24,1
80.0,41,1
80.0,47,0
82.0,1,1
82.0,2,1
82.0,3,0
82.0,5,0
82.0,12,1
82.0,13,0
82.0,14,0
82.0,16,1
82.0,19,1
82.0,21,0
82.0,23,0
82.0,24,1
82.0,27,0
82.0,28,0
82.0,49,1
86.0,2,1
86.0,4,1
86.0,5,0
86.0,9,0
86.0,10,1
86.0,25,0
86.0,28,0
86.0,31,1
87.0,7,1
87.0,18,0
87.0,23,1
87.0,33,0
87.0,35,1
87.0,36,0
87.0,45,0
94.0,1,1
94.0,3,0
94.0,4,1
94.0,9,0
94.0,11,0
94.0,16,1
94.0,18,1
94.0,30,0
94.0,44,0
94.0,46,1
95.0,0,1
95.0,2,1
95.0,7,0
95.0,8,1
95.0,12,0
95.0,14,1
95.0,16,1
95.0,20,0
95.0,26,1
95.0,27,0
95.0,28,1
95.0,33,1
95.0,34,1
95.0,37,1
95.0,40,1
95.0,44,0
95.0,49,1
103.0,1,0
103.0,8,0
103.0,24,0
103.0,26,1
103.0,30,1
103.0,34,0
103.0,35,0
103.0,40,1
103.0,46,1
103.0,48,0
108.0,5,0
108.0,9,0
108.0,12,0
108.0,13,1
108.0,14,0
108.0,21,0
108.0,23,0
108.0,28,0
108.0,30,1
108.0,34,1
115.0,11,0
115.0,20,1
115.0,27,0
115.0,32,1
115.0,36,0
115.0,38,0
115.0,39,1
115.0,47,0
115.0,48,1
118.0,2,0
118.0,4,1
118.0,15,1
118.0,32,1
118.0,35,1
118.0,36,0
118.0,39,1
118.0,40,0
118.0,46,0
122.0,3,0
122.0,10,0
122.0,12,0
122.0,16,0
122.0,21,1
122.0,25,0
122.0,32,1
122.0,39,1
122.0,42,1
135.0,1,0
135.0,6,1
135.0,7,1
135.0,8,1
135.0,14,0
135.0,16,0
135.0,17,0
135.0,20,0
135.0,21,0
135.0,26,1
135.0,30,0
135.0,44,1
135.0,45,0
155.0,2,1
155.0,4,0
155.0,10,1
155.0,12,1
155.0,19,1
155.0,29,0
155.0,34,0
156.0,9,0
156.0,10,1
156.0,13,1
156.0,18,0
156.0,21,1
156.0,36,1
156.0,39,0
156.0,41,1
156.0,47,0
156.0,49,1
161.0,4,1
161.0,25,0
161.0,27,1
161.0,36,1
161.0,43,0
161.0,45,1
165.0,8,0
165.0,9,0
165.0,15,0
165.0,24,0
165.0,32,1
165.0,34,1
165.0,35,1
165.0,42,1
165.0,48,1
168.0,7,1
168.0,11,0
168.0,14,1
168.0,15,1
168.0,17,1
168.0,18,0
168.0,23,1
168.0,24,0
168.0,25,0
168.0,26,0
168.0,36,1
168.0,39,0
168.0,40,1
168.0,45,1
172.0,5,0
172.0,10,1
172.0,13,0
172.0,15,1
172.0,19,1
172.0,20,1
172.0,21,0
172.0,25,0
172.0,26,0
172.0,28,0
172.0,36,1
172.0,37,1
172.0,40,1
172.0,44,1
172.0,45,1
175.0,2,0
175.0,7,0
175.0,9,1
175.0,22,1
175.0,24,1
175.0,26,0
175.0,31,1
175.0,33,0
175.0,35,1
175.0,36,0
175.0,41,1
175.0,46,0
175.0,47,1
175.0,49,0
181.0,2,0
181.0,3,0
181.0,8,1
181.0,13,1
181.0,15,0
181.0,18,0
181.0,24,1
181.0,30,1
181.0,32,1
181.0,33,1
181.0,39,1
181.0,45,0
187.0,12,0
187.0,19,0
187.0,23,0
187.0,40,0
187.0,41,1
187.0,46,1
189.0,1,1
189.0,4,1
189.0,13,1
189.0,14,0
189.0,20,1
189.0,21,1
189.0,32,0
189.0,34,1
189.0,37,0
189.0,42,0
189.0,44,0
199.0,1,0
199.0,2,0
199.0,3,1
199.0,4,1
199.0,6,1
199.0,12,1
199.0,15,1
199.0,20,0
199.0,33,0
199.0,46,1
199.0,49,1
