worker,task,answer
A39LJRF4LGAIX5,413,0
A39LJRF4LGAIX5,425,1
A29PMRCRJ7Q9ZD,214,1
A17G2QHR8AH5VV,435,0
A29PMRCRJ7Q9ZD,435,0
A39LJRF4LGAIX5,459,1
A29PMRCRJ7Q9ZD,459,1
A17G2QHR8AH5VV,237,0
A2H3M1JVY991Q3,247,0
A29PMRCRJ7Q9ZD,247,1
A39PPFQ1L7N6OQ,478,1
A17G2QHR8AH5VV,257,0
A29PMRCRJ7Q9ZD,489,1
A17G2QHR8AH5VV,489,0
A2U3EWDHMY526T,491,0
A52AHJEUWFSA2,502,0
A39LJRF4LGAIX5,274,1
A29PMRCRJ7Q9ZD,276,1
A2H3M1JVY991Q3,276,0
A17G2QHR8AH5VV,517,0
A39LJRF4LGAIX5,517,0
A29PMRCRJ7Q9ZD,288,1
A37NNI7YFHQU0E,288,0
A17G2QHR8AH5VV,535,0
A29PMRCRJ7Q9ZD,535,0
A29PMRCRJ7Q9ZD,577,0
A1E3MS4AD1WM8V,586,0
A29PMRCRJ7Q9ZD,320,1
A39LJRF4LGAIX5,325,1
A29PMRCRJ7Q9ZD,327,1
A2H3M1JVY991Q3,327,0
AADB14P6ZCSOC,327,0
A29PMRCRJ7Q9ZD,354,1
AQ3M9XJK8WOII,354,0
A2H3M1JVY991Q3,369,1
AB5C1BRQTC19Q,373,1
A2H3M1JVY991Q3,375,1
A29PMRCRJ7Q9ZD,376,0
A39LJRF4LGAIX5,376,1
A2H3M1JVY991Q3,379,0
A29PMRCRJ7Q9ZD,381,0
A2H3M1JVY991Q3,381,0
A17G2QHR8AH5VV,396,0
A3U5GS55UEF5C8,662,1
A29PMRCRJ7Q9ZD,674,1
A29PMRCRJ7Q9ZD,676,0
A39LJRF4LGAIX5,679,0
A29PMRCRJ7Q9ZD,681,0
A29PMRCRJ7Q9ZD,684,0
A29PMRCRJ7Q9ZD,688,1
A29PMRCRJ7Q9ZD,702,1
A29PMRCRJ7Q9ZD,745,0
A17G2QHR8AH5VV,749,0
A2H3M1JVY991Q3,749,1
AADB14P6ZCSOC,752,1
A29PMRCRJ7Q9ZD,752,1
A29PMRCRJ7Q9ZD,772,0
A29PMRCRJ7Q9ZD,781,0
A1E3MS4AD1WM8V,781,0
AADB14P6ZCSOC,3,0
A29PMRCRJ7Q9ZD,3,0
A2H3M1JVY991Q3,7,1
A29PMRCRJ7Q9ZD,30,1
A2H3M1JVY991Q3,32,0
A39LJRF4LGAIX5,34,0
A3QJWBEC5A5OEG,38,0
A29PMRCRJ7Q9ZD,38,1
A2H3M1JVY991Q3,53,1
A39LJRF4LGAIX5,67,0
AB5C1BRQTC19Q,83,1
A17G2QHR8AH5VV,109,0
A2H3M1JVY991Q3,123,1
A2H3M1JVY991Q3,133,1
A2H3M1JVY991Q3,805,0
A2H3M1JVY991Q3,156,0
A29PMRCRJ7Q9ZD,156,1
A2H3M1JVY991Q3,167,1
A29PMRCRJ7Q9ZD,831,1
A3U5GS55UEF5C8,831,0
A29PMRCRJ7Q9ZD,173,1
A29PMRCRJ7Q9ZD,836,0
A39LJRF4LGAIX5,846,1
A29PMRCRJ7Q9ZD,890,1
A2H3M1JVY991Q3,897,1
A29PMRCRJ7Q9ZD,930,0
A3U5GS55UEF5C8,939,0
A2H3M1JVY991Q3,943,0
AB5C1BRQTC19Q,943,0
A2H3M1JVY991Q3,975,1
AB5C1BRQTC19Q,975,0
A29PMRCRJ7Q9ZD,979,0
A39LJRF4LGAIX5,988,0
A29PMRCRJ7Q9ZD,988,0
