task,truth
10,0
11,0
14,0
22,0
29,1
44,1
62,0
65,1
74,1
90,0
94,1
103,1
108,1
110,0
112,0
117,1
129,1
140,0
152,0
155,0
171,1
181,1
182,1
187,1
206,1
223,1
230,0
244,1
281,1
284,0
290,0
293,0
328,0
339,0
342,0
348,0
372,1
384,1
391,0
392,0
398,1
403,0
437,1
449,0
466,1
501,1
506,0
521,1
531,0
538,0
549,1
572,0
578,1
587,1
590,0
615,0
623,1
624,0
629,0
634,1
647,1
648,0
668,1
669,1
673,1
683,1
697,0
704,1
734,1
750,1
764,1
771,0
784,1
785,1
788,0
794,0
810,0
826,1
829,1
835,0
841,0
850,0
862,0
867,0
873,0
888,0
905,1
909,1
914,1
919,1
922,0
928,0
936,0
946,1
953,0
954,0
969,1
977,0
994,1
999,0
