worker,task,answer
896,9,1
896,13,0
896,20,1
896,33,0
896,40,1
896,56,1
896,62,0
896,71,1
896,76,1
896,82,1
866,9,1
866,13,0
866,20,0
866,33,1
866,40,0
866,56,1
866,62,1
866,71,1
866,76,1
866,82,0
175,9,1
175,13,1
175,20,1
175,33,1
175,40,1
175,56,1
175,62,1
175,71,1
175,76,1
175,82,1
1721,9,1
1721,13,1
1721,20,0
1721,33,0
1721,40,0
1721,56,1
1721,62,0
1721,71,0
1721,76,0
1721,82,0
1722,9,0
1722,13,0
1722,20,0
1722,33,0
1722,40,1
1722,56,0
1722,62,0
1722,71,1
1722,76,1
1722,82,0
1723,9,0
1723,13,0
1723,20,1
1723,33,1
1723,40,1
1723,56,1
1723,62,0
1723,71,1
1723,76,1
1723,82,0
1724,9,0
1724,13,0
1724,20,0
1724,33,1
1724,40,0
1724,56,1
1724,62,0
1724,71,1
1724,76,1
1724,82,0
1725,9,1
1725,13,0
1725,20,1
1725,33,1
1725,40,1
1725,56,1
1725,62,1
1725,71,1
1725,76,1
1725,82,1
1727,9,0
1727,13,0
1727,20,1
1727,33,1
1727,40,0
1727,56,0
1727,62,0
1727,71,1
1727,76,0
1727,82,0
1730,9,0
1730,13,0
1730,20,1
1730,33,1
1730,40,0
1730,56,0
1730,62,1
1730,71,1
1730,76,1
1730,82,0
1734,9,0
1734,13,0
1734,20,0
1734,33,1
1734,40,0
1734,56,0
1734,62,1
1734,71,1
1734,76,0
1734,82,0
97,9,1
97,13,0
97,20,0
97,33,1
97,40,1
97,56,0
97,62,0
97,71,0
97,76,1
97,82,0
1737,9,1
1737,13,1
1737,20,1
1737,33,0
1737,40,1
1737,56,0
1737,62,0
1737,71,0
1737,76,0
1737,82,0
1738,9,0
1738,13,0
1738,20,1
1738,33,1
1738,40,0
1738,56,1
1738,62,0
1738,71,1
1738,76,1
1738,82,0
1740,9,1
1740,13,0
1740,20,0
1740,33,0
1740,40,0
1740,56,0
1740,62,0
1740,71,1
1740,76,0
1740,82,0
1742,9,0
1742,13,0
1742,20,0
1742,33,0
1742,40,0
1742,56,0
1742,62,0
1742,71,1
1742,76,1
1742,82,0
335,9,1
335,13,1
335,20,1
335,33,1
335,40,1
335,56,0
335,62,1
335,71,1
335,76,0
335,82,1
1750,9,0
1750,13,0
1750,20,1
1750,33,1
1750,40,0
1750,56,0
1750,62,0
1750,71,1
1750,76,1
1750,82,1
1755,9,0
1755,13,0
1755,20,0
1755,33,1
1755,40,0
1755,56,0
1755,62,0
1755,71,0
1755,76,0
1755,82,0
1757,9,0
1757,13,0
1757,20,1
1757,33,1
1757,40,0
1757,56,0
1757,62,0
1757,71,0
1757,76,1
1757,82,0
1758,9,0
1758,13,0
1758,20,0
1758,33,1
1758,40,0
1758,56,0
1758,62,0
1758,71,0
1758,76,0
1758,82,0
1761,9,1
1761,13,0
1761,20,1
1761,33,1
1761,40,1
1761,56,1
1761,62,0
1761,71,0
1761,76,1
1761,82,0
1764,9,0
1764,13,0
1764,20,0
1764,33,1
1764,40,0
1764,56,0
1764,62,0
1764,71,1
1764,76,0
1764,82,0
1005,9,0
1005,13,0
1005,20,1
1005,33,1
1005,40,1
1005,56,0
1005,62,1
1005,71,1
1005,76,1
1005,82,1
885,9,0
885,13,0
885,20,1
885,33,1
885,40,1
885,56,1
885,62,1
885,71,1
885,76,1
885,82,1
1743,9,0
1743,13,0
1743,20,0
1743,33,1
1743,40,0
1743,56,1
1743,62,0
1743,71,0
1743,76,0
1743,82,0
