worker,task,answer
AMRVOX9QGBGH9,1388,0
A1WCS9A1G451ET,1332,0
A11SLRXUNTJBJN,917,0
A2AU1R4ZU1ZJ1A,648,0
A3HB574VTU7ZFQ,1799,0
A2AU1R4ZU1ZJ1A,914,0
A3EGTD5X91JG0H,646,0
A11SLRXUNTJBJN,1738,0
A3OVORVFL0XDTW,1217,0
A11SLRXUNTJBJN,1763,0
A2AU1R4ZU1ZJ1A,383,1
A348T531HDSG5S,1820,1
A2AU1R4ZU1ZJ1A,1103,1
A2AU1R4ZU1ZJ1A,1745,0
A2AU1R4ZU1ZJ1A,1332,0
A11SLRXUNTJBJN,1869,0
A2T9GONQRQRCDA,1688,0
A22075U2VINOZF,365,0
A1KHK2C32M9BER,1583,0
A1KHK2C32M9BER,1706,0
A2AU1R4ZU1ZJ1A,471,1
A2AU1R4ZU1ZJ1A,729,1
A3GJG5WDSBJDF9,605,0
A2AU1R4ZU1ZJ1A,1196,1
A2AU1R4ZU1ZJ1A,487,1
A179VLKURU2LOC,891,0
A2AU1R4ZU1ZJ1A,903,1
A2AU1R4ZU1ZJ1A,1480,1
AS52W5HOMKHLU,1841,0
A2AU1R4ZU1ZJ1A,917,0
A2VLOL5DA4M2T1,1997,0
A2AU1R4ZU1ZJ1A,974,1
A11SLRXUNTJBJN,1217,0
AS52W5HOMKHLU,997,0
A14ZRGA0JDMF7R,1537,0
A2CGWHQ96BMD4R,471,0
A1K96S33FDRUJW,1218,0
A2VLOL5DA4M2T1,152,0
A2VLOL5DA4M2T1,696,0
AS52W5HOMKHLU,681,0
A3GJG5WDSBJDF9,1107,0
AMB0MI0ETV2QN,1050,0
A3OJ1IOB618GL1,304,0
A2VLOL5DA4M2T1,681,0
A3G5VXOKAAQ2X5,1738,0
AS52W5HOMKHLU,1108,0
A2AU1R4ZU1ZJ1A,407,0
A8973OC7HM3Y6,1059,0
A3OJ1IOB618GL1,471,0
A2AU1R4ZU1ZJ1A,1933,1
AS52W5HOMKHLU,903,0
A8973OC7HM3Y6,1678,1
AS52W5HOMKHLU,1869,0
A1PX8UYPRGZCO9,674,0
A2SKWBR49HEXFY,7,0
A3GJG5WDSBJDF9,1217,0
A2ZSRG20LC3J0C,1714,0
A2VLOL5DA4M2T1,556,0
AS52W5HOMKHLU,1050,0
A1K96S33FDRUJW,79,0
A2AU1R4ZU1ZJ1A,732,1
A8973OC7HM3Y6,1997,0
A2J853TSTRPTX7,829,0
A1GRVYC1M3TAUB,570,1
A1GRVYC1M3TAUB,1472,1
A1PX8UYPRGZCO9,1103,0
A1PX8UYPRGZCO9,1745,0
A2AU1R4ZU1ZJ1A,630,1
A2AU1R4ZU1ZJ1A,1869,0
A2AU1R4ZU1ZJ1A,1753,1
A2ZSRG20LC3J0C,1218,0
AS52W5HOMKHLU,1932,0
A2ZSRG20LC3J0C,570,0
A2ZSRG20LC3J0C,1472,0
A11M3WJ9A9KH6A,1046,0
A238AK06DRI5FX,1847,0
A1K96S33FDRUJW,1013,0
A1K96S33FDRUJW,1850,0
AS52W5HOMKHLU,1103,0
AS52W5HOMKHLU,1745,0
A2YCMDV70RH926,424,0
A2F7FQ1QH5O5DK,1173,1
A1VLY9V91HLMWE,840,0
A1VLY9V91HLMWE,804,0
A1VLY9V91HLMWE,651,0
A2SQGQ991CEHPJ,1975,0
ATUMNO19F5R71,1572,0
A1K96S33FDRUJW,1583,0
A1K96S33FDRUJW,1706,0
A1Z61FGSEBPA6D,1678,1
AS52W5HOMKHLU,304,0
A2AU1R4ZU1ZJ1A,1749,1
A11M3WJ9A9KH6A,1927,0
A3A00OWPY22PD1,556,1
AOCJFXTIP7H3A,1971,0
AWAFCJJRHVAJJ,1847,0
AOCJFXTIP7H3A,234,1
A2L4B4EDG5FKWE,584,1
A23HU633Q6EQCN,729,0
A1K96S33FDRUJW,1332,0
A1PX8UYPRGZCO9,615,0
AOCJFXTIP7H3A,681,0
A2AU1R4ZU1ZJ1A,1610,1
