task,truth
9,0
12,0
33,0
65,0
67,0
129,0
153,0
251,0
286,1
348,0
353,0
374,0
398,0
443,0
453,0
506,0
525,0
538,0
604,0
656,0
730,0
742,0
802,0
931,0
1009,0
1148,0
1196,0
1213,0
1232,0
1234,0
1248,1
1250,0
1268,0
1281,0
1300,1
1331,0
1337,1
1367,0
1376,0
1383,0
1415,0
1442,0
1469,1
1496,1
1503,0
1514,0
1600,0
1605,0
1638,0
1650,0
1652,0
1659,0
1669,0
1699,0
1702,0
1707,0
1745,0
1758,0
1815,0
1820,1
1874,0
1901,0
1907,0
1917,0
1919,0
1952,0
1994,1
2025,0
2038,0
2043,0
2050,0
2066,0
2109,1
2123,0
2141,0
2155,1
2194,0
2214,0
2247,0
2276,0
2283,0
2295,0
2300,0
2311,0
2328,0
2354,1
2373,0
2393,0
2451,0
2493,0
2520,0
2559,1
2590,0
2598,0
2630,0
2643,0
2758,0
2767,0
2795,0
2818,0
2843,0
2862,0
2865,0
2884,0
2904,0
2916,0
3008,1
3013,0
3015,0
3041,0
3046,0
3128,0
3189,0
3194,1
3223,0
3287,0
3340,0
3373,0
3387,0
3411,0
3470,0
3521,0
3611,0
3637,1
3668,0
3690,0
3730,0
3751,0
3758,0
3857,0
3889,0
3894,0
3927,1
3971,0
4033,0
4071,0
4081,0
4086,0
4200,0
4226,0
4263,1
4298,0
4329,0
4356,0
4395,0
4432,0
4440,0
4465,0
4473,0
4476,0
