worker,task,answer
2.0,0,0
2.0,1,0
2.0,2,1
2.0,3,0
2.0,6,0
2.0,10,1
2.0,11,1
2.0,15,1
2.0,17,1
2.0,20,0
2.0,21,0
2.0,24,0
2.0,25,1
2.0,26,1
2.0,27,1
2.0,28,1
2.0,30,1
2.0,32,0
2.0,33,1
2.0,34,0
2.0,36,0
2.0,37,0
2.0,38,0
2.0,39,0
2.0,41,0
2.0,42,0
2.0,44,1
2.0,46,1
2.0,47,0
2.0,48,0
2.0,49,0
5.0,0,0
5.0,1,1
5.0,3,1
5.0,6,1
5.0,7,1
5.0,10,0
5.0,11,0
5.0,12,0
5.0,13,1
5.0,14,0
5.0,15,0
5.0,16,1
5.0,18,0
5.0,21,0
5.0,25,1
5.0,28,1
5.0,30,0
5.0,31,1
5.0,32,1
5.0,33,1
5.0,34,1
5.0,35,0
5.0,36,0
5.0,37,0
5.0,38,0
5.0,44,1
5.0,45,1
5.0,46,0
5.0,47,1
5.0,49,0
7.0,0,0
7.0,1,1
7.0,2,1
7.0,4,0
7.0,8,1
7.0,10,1
7.0,11,0
7.0,12,0
7.0,13,0
7.0,14,1
7.0,15,0
7.0,16,1
7.0,17,0
7.0,18,1
7.0,19,1
7.0,21,1
7.0,22,1
7.0,24,1
7.0,25,0
7.0,27,0
7.0,28,1
7.0,29,1
7.0,32,1
7.0,34,1
7.0,35,1
7.0,37,0
7.0,38,1
7.0,40,1
7.0,41,0
7.0,42,0
7.0,43,1
7.0,46,0
7.0,48,1
8.0,0,0
8.0,1,1
8.0,2,1
8.0,4,1
8.0,5,0
8.0,8,0
8.0,9,0
8.0,10,0
8.0,11,0
8.0,12,1
8.0,16,1
8.0,17,1
8.0,18,0
8.0,19,0
8.0,21,0
8.0,22,0
8.0,24,1
8.0,25,1
8.0,26,0
8.0,29,1
8.0,32,0
8.0,33,1
8.0,36,1
8.0,37,1
8.0,38,0
8.0,40,0
8.0,41,1
8.0,42,0
8.0,44,0
8.0,45,0
8.0,47,1
8.0,48,0
13.0,1,0
13.0,3,0
13.0,5,1
13.0,6,1
13.0,7,0
13.0,9,1
13.0,10,0
13.0,11,0
13.0,12,1
13.0,13,0
13.0,14,0
13.0,17,1
13.0,18,1
13.0,19,1
13.0,20,1
13.0,21,1
13.0,28,1
13.0,29,1
13.0,30,0
13.0,32,1
13.0,33,1
13.0,34,0
13.0,36,1
13.0,37,0
13.0,38,0
13.0,42,1
13.0,43,1
13.0,45,1
16.0,0,0
16.0,1,1
16.0,2,1
16.0,3,1
16.0,4,0
16.0,6,1
16.0,7,0
16.0,9,1
16.0,11,0
16.0,13,0
16.0,20,0
16.0,22,0
16.0,23,0
16.0,24,0
16.0,25,1
16.0,26,0
16.0,30,0
16.0,32,0
16.0,34,1
16.0,36,0
16.0,37,0
16.0,39,1
16.0,40,0
16.0,41,1
16.0,43,0
16.0,44,1
16.0,45,0
16.0,46,1
16.0,47,1
16.0,49,0
17.0,0,0
17.0,1,0
17.0,2,0
17.0,4,1
17.0,6,1
17.0,7,1
17.0,9,1
17.0,11,1
17.0,12,1
17.0,14,1
17.0,19,1
17.0,20,1
17.0,21,0
17.0,23,0
