worker,task,answer
0.0,4,0
0.0,8,0
0.0,14,1
0.0,29,0
0.0,30,1
0.0,31,1
0.0,35,1
0.0,41,1
0.0,43,0
0.0,44,0
0.0,46,1
0.0,47,0
0.0,49,0
2.0,2,0
2.0,6,0
2.0,7,0
2.0,8,0
2.0,14,0
2.0,18,0
2.0,19,0
2.0,20,0
2.0,21,1
2.0,23,1
2.0,24,1
2.0,28,1
2.0,35,0
2.0,36,0
2.0,37,1
2.0,38,0
2.0,39,0
2.0,42,0
2.0,45,1
3.0,5,0
3.0,6,1
3.0,8,1
3.0,10,0
3.0,11,0
3.0,13,0
3.0,16,1
3.0,19,1
3.0,20,1
3.0,21,0
3.0,23,1
3.0,28,1
3.0,31,0
3.0,32,1
3.0,34,1
3.0,35,1
3.0,36,1
3.0,37,1
3.0,41,0
3.0,48,0
3.0,49,0
4.0,3,0
4.0,7,1
4.0,8,0
4.0,9,1
4.0,14,0
4.0,18,0
4.0,30,0
4.0,31,0
4.0,32,1
4.0,34,0
4.0,37,0
4.0,38,0
4.0,39,1
4.0,40,1
4.0,41,0
4.0,43,0
4.0,45,1
4.0,46,0
4.0,47,1
7.0,1,0
7.0,3,1
7.0,4,1
7.0,6,1
7.0,10,1
7.0,11,0
7.0,12,0
7.0,17,1
7.0,29,1
7.0,30,0
7.0,32,0
7.0,38,0
7.0,39,0
7.0,40,0
7.0,42,0
7.0,43,1
7.0,48,1
8.0,7,0
8.0,10,0
8.0,11,0
8.0,19,0
8.0,22,1
8.0,24,0
8.0,34,0
8.0,42,0
11.0,0,0
11.0,3,1
11.0,8,1
11.0,9,1
11.0,10,0
11.0,17,0
11.0,18,0
11.0,20,0
11.0,22,0
11.0,26,0
11.0,27,1
11.0,36,1
11.0,38,1
11.0,39,1
11.0,41,0
11.0,46,0
11.0,47,1
16.0,1,1
16.0,6,1
16.0,11,1
16.0,12,1
16.0,13,0
16.0,14,1
16.0,15,1
16.0,16,1
16.0,18,0
16.0,23,0
16.0,24,0
16.0,28,1
16.0,38,1
16.0,40,1
16.0,42,0
16.0,45,1
18.0,0,1
18.0,7,0
18.0,9,1
18.0,10,0
18.0,11,1
18.0,20,1
18.0,27,1
18.0,29,1
18.0,31,1
18.0,33,1
18.0,34,0
18.0,35,0
18.0,38,1
18.0,40,1
18.0,41,1
23.0,1,1
23.0,6,1
23.0,8,1
23.0,11,0
23.0,13,1
23.0,14,0
23.0,17,0
23.0,19,1
23.0,30,1
23.0,34,0
23.0,35,1
23.0,41,1
23.0,42,0
23.0,44,1
25.0,2,0
25.0,3,0
25.0,8,1
25.0,9,1
25.0,10,0
25.0,11,0
25.0,18,0
25.0,28,0
25.0,33,1
25.0,34,1
25.0,41,1
25.0,42,0
25.0,46,0
25.0,47,0
25.0,48,1
30.0,1,1
30.0,2,0
30.0,4,0
30.0,7,1
30.0,8,1
30.0,12,1
30.0,14,1
30.0,15,1
30.0,18,0
30.0,21,1
30.0,23,0
30.0,30,0
30.0,35,1
30.0,40,0
30.0,45,1
30.0,48,0
33.0,0,0
33.0,8,1
33.0,9,1
33.0,11,1
33.0,14,1
33.0,15,1
33.0,16,0
33.0,22,1
33.0,23,0
33.0,26,0
33.0,28,1
33.0,29,1
33.0,31,0
33.0,38,0
33.0,39,1
33.0,40,1
33.0,41,1
38.0,6,1
38.0,9,0
38.0,10,0
38.0,13,0
38.0,14,0
38.0,20,0
38.0,23,0
38.0,26,0
38.0,28,0
38.0,35,0
38.0,36,1
38.0,38,1
42.0,2,1
42.0,8,1
42.0,12,0
42.0,15,0
42.0,21,0
42.0,27,0
42.0,28,0
