Day,RMSTE,RMSRE,Accuracy
Day 0,0.09609635800003918,0.12020794343099535,0.6
Day 1,0.07551185175585456,0.09338121774236816,0.82
Day 2,0.09984660227645394,0.12160217234305748,0.72
Day 3,0.08500325821315816,0.10238711461874134,0.78
Day 4,0.0839972390977378,0.10486830472196525,0.9
Day 5,0.0903477428794411,0.10803901077296278,0.96
Day 6,0.07206375801800102,0.08502036455084903,0.84
Day 7,0.06790393783582466,0.08884453535692409,0.88
Day 8,0.09221876250979853,0.10527222728820439,0.84
Day 9,0.0815737306092357,0.10181660918851608,0.82
Day 10,0.10007576654992664,0.12222960519414143,0.7
Day 11,0.0819312063681254,0.1021057862689444,0.74
Day 12,0.07237463910860728,0.09307082393002798,0.78
Day 13,0.07074754428974277,0.09368405304525772,0.84
Day 14,0.08608129713812207,0.1109655758881773,0.68
Day 15,0.08153713078041126,0.09996942720237349,0.88
Day 16,0.09098801091350134,0.10987744531539735,0.82
Day 17,0.07439176651989024,0.09889170613869262,0.94
Day 18,0.0894821358294024,0.1145698597506269,0.84
Day 19,0.07284799254800806,0.08984136162901045,0.78
