Day,RMSTE,RMSRE,Accuracy
Day 0,0.12047685663644728,0.1518381656219754,0.8
Day 1,0.13611285334864134,0.17495194952710288,0.66
Day 2,0.14278911890748333,0.17590848608951914,0.68
Day 3,0.1046466987621521,0.13653502911526327,0.86
Day 4,0.1371563788782109,0.16391656932652565,0.74
Day 5,0.11765878730320356,0.14519535152184904,0.82
Day 6,0.10929994276180549,0.13475775176193236,0.82
Day 7,0.11321590631783517,0.14504290216500237,0.74
Day 8,0.14900641881581975,0.1837406849565104,0.58
Day 9,0.14806253036869996,0.18063815451116863,0.7
Day 10,0.107653258080136,0.13435320025107525,0.84
Day 11,0.15143819424868118,0.18333266630455494,0.68
Day 12,0.14245719183024827,0.1870082793780154,0.64
Day 13,0.1623282841213347,0.1890264216109033,0.66
Day 14,0.12225524004457063,0.15041795519944778,0.84
Day 15,0.09654203451423536,0.125914729223927,0.72
Day 16,0.1528836432208319,0.18552806280862336,0.52
Day 17,0.138607519847904,0.1659046458497081,0.68
Day 18,0.11334160930755569,0.13835290744714668,0.8
Day 19,0.1139706286269789,0.14444680801485657,0.64
