Day,RMSTE,RMSRE,Accuracy
Day 0,0.074920695617619,0.0950086718784932,0.76
Day 1,0.08880770224421762,0.10523757365258923,0.84
Day 2,0.07909898036753314,0.09923171623111503,0.8
Day 3,0.0823513800619548,0.09433680748570927,0.8
Day 4,0.08466170635854524,0.10959383623461151,0.78
Day 5,0.08203387907559992,0.10744917306571357,0.74
Day 6,0.08167173569865308,0.1027192179951035,0.84
Day 7,0.06571922641885403,0.08263442435011485,0.8
Day 8,0.09018552863056485,0.11250355365355535,0.78
Day 9,0.08980610228485215,0.10714475991907291,0.68
Day 10,0.08059934629966807,0.09691881617064305,0.88
Day 11,0.07856536532613605,0.09753126483545704,0.88
Day 12,0.08038454387524026,0.09585058406757609,0.8
Day 13,0.09541353008840424,0.11555684423269844,0.72
Day 14,0.0759166176886458,0.09591097997084143,0.74
Day 15,0.09278705007329575,0.11941180135350966,0.7
Day 16,0.10599766675756814,0.12959865558736072,0.68
Day 17,0.08873239304728454,0.10873825870157319,0.76
Day 18,0.09204549315207887,0.10945527896791787,0.82
Day 19,0.08263385609148383,0.10238035206090278,0.8
