Day,RMSTE,RMSRE,Accuracy
Day 0,0.1189793501247022,0.14531304075111082,0.82
Day 1,0.1126021900551636,0.1407983611198073,0.64
Day 2,0.09613459330441479,0.12150778182138085,0.64
Day 3,0.0852625411417139,0.10989058177913306,0.88
Day 4,0.08921999966766408,0.11516899825729877,0.78
Day 5,0.08713135962462626,0.11238507345188904,0.82
Day 6,0.07316905838694429,0.09307935717765298,0.8
Day 7,0.07832072112022469,0.09140604252627697,0.78
Day 8,0.06780256899634134,0.09113748057698284,0.9
Day 9,0.08293660305170797,0.10539769312123086,0.74
Day 10,0.0721723437013913,0.09026843256994073,0.88
Day 11,0.058020818031446486,0.07380548811786486,0.82
Day 12,0.06989163337070303,0.08562347531518139,0.88
Day 13,0.06710085206741831,0.08157533091210019,0.82
Day 14,0.06644479327917176,0.0877861177309773,0.76
Day 15,0.06860433312429672,0.09165646129196352,0.84
Day 16,0.052685888464096144,0.06985156718202108,0.82
Day 17,0.05736110376761262,0.07722956889631447,0.84
Day 18,0.052401422123155815,0.06704772981268314,0.86
Day 19,0.057365479801312125,0.0722141952210414,0.84
