Day,MSE_mu,Accuracy
Day 0,0.02872082304456781,0.72
Day 1,0.013512536344914674,0.72
Day 2,0.005588673510693757,0.8
Day 3,0.010963321320288004,0.78
Day 4,0.011485980477701746,0.68
Day 5,0.016096458289867947,0.42
Day 6,0.012639411542064717,0.56
Day 7,0.0132183302106688,0.74
Day 8,0.013363977261643574,0.52
Day 9,0.010822442315118126,0.56
Day 10,0.01090184755533886,0.7
Day 11,0.012827737834203242,0.62
Day 12,0.012602361957591058,0.68
Day 13,0.01231999476008485,0.66
Day 14,0.018126574983677736,0.58
Day 15,0.01185540984534471,0.72
Day 16,0.014808701633281707,0.8
Day 17,0.011349106656759388,0.72
Day 18,0.013280650517058762,0.74
Day 19,0.009227821392084407,0.62
