Day,RMSTE,RMSRE,Accuracy
Day 0,0,0,0.9
Day 1,0,0,0.875
Day 2,0,0,0.9
Day 3,0,0,0.85
Day 4,0,0,0.9
Day 5,0,0,0.85
Day 6,0,0,0.925
Day 7,0,0,0.925
Day 8,0,0,0.95
Day 9,0,0,0.975
Day 10,0,0,0.925
Day 11,0,0,0.875
Day 12,0,0,0.8
Day 13,0,0,0.825
Day 14,0,0,0.9
Day 15,0,0,0.975
Day 16,0,0,0.95
Day 17,0,0,0.9
Day 18,0,0,0.975
Day 19,0,0,0.925
Day 20,0,0,0.9
Day 21,0,0,0.925
Day 22,0,0,0.95
Day 23,0,0,0.975
Day 24,0,0,0.9
Day 25,0,0,0.9
Day 26,0,0,0.925
Day 27,0,0,0.925
Day 28,0,0,0.85
Day 29,0,0,0.95
