Day,RMSTE,RMSRE,Accuracy
Day 0,0.0843383874950844,0.10347758042874264,0.7
Day 1,0.08460995999651741,0.10619994146484674,0.74
Day 2,0.07567875353716515,0.09148202816401077,0.86
Day 3,0.08811984916783183,0.10639807372302817,0.7
Day 4,0.07377850604535985,0.09144525427266764,0.56
Day 5,0.06500431028330969,0.08177938563366259,0.84
Day 6,0.07275344754577948,0.08728125123055987,0.8
Day 7,0.07141787359099552,0.0835338742442185,0.74
Day 8,0.08261445657551963,0.10339111987317587,0.86
Day 9,0.06530132181279481,0.08178385753499015,0.86
Day 10,0.09009118847111393,0.1072597338510641,0.68
Day 11,0.06078324036914643,0.08103760912629232,0.76
Day 12,0.07070386051728174,0.09078148836543093,0.76
Day 13,0.0675379238143575,0.08452960823193667,0.84
Day 14,0.06188512717346102,0.07678911619306972,0.76
Day 15,0.06178097154749886,0.08405058306332183,0.86
Day 16,0.06789199076874906,0.08553947415406457,0.72
Day 17,0.06355431189666981,0.08023429598627667,0.82
Day 18,0.06500084974706476,0.078858366505134,0.82
Day 19,0.06343272482438564,0.07584649741334974,0.82
