Day,RMSTE,RMSRE,Accuracy
Day 0,0.08107339593953942,0.10223420811563852,0.78
Day 1,0.08329648210970436,0.10767480749555373,0.8
Day 2,0.08110324918259106,0.10271195674805007,0.88
Day 3,0.08298930212650878,0.1050000417186202,0.72
Day 4,0.10882256079249371,0.13270046717765502,0.78
Day 5,0.07498860559326943,0.09268517317693663,0.86
Day 6,0.08274416180387213,0.1015806411726194,0.88
Day 7,0.08503693765650418,0.102026439356194,0.86
Day 8,0.08060887371994158,0.09327268345409541,0.68
Day 9,0.07699115515616729,0.09518505104302485,0.72
Day 10,0.07918279056822247,0.09717881745856115,0.8
Day 11,0.09234509370933044,0.11114885455460993,0.84
Day 12,0.08702074846633223,0.10580996630624394,0.88
Day 13,0.07988450075169608,0.10091527229534697,0.78
Day 14,0.0889980835380332,0.1066461482504434,0.88
Day 15,0.08996847081305202,0.11105952715410872,0.74
Day 16,0.08365970124566117,0.1016498027062926,0.76
Day 17,0.09543312586197755,0.11943054391914477,0.7
Day 18,0.08043421731805248,0.10219644759968508,0.82
Day 19,0.0883452660650801,0.10789973501095794,0.76
