Day,RMSTE,RMSRE,Accuracy
Day 0,0.10058058783613807,0.12487641576811477,0.84
Day 1,0.07312879564277251,0.09418464549704085,0.82
Day 2,0.0691816778150521,0.09161280803264096,0.8
Day 3,0.07300189808535655,0.09003496131125398,0.76
Day 4,0.06454171786451492,0.08426751711245668,0.86
Day 5,0.06997912792594159,0.08703768496288082,0.72
Day 6,0.07239961367860114,0.08990242283561276,0.82
Day 7,0.07442428082103372,0.09374923339950389,0.82
Day 8,0.06941404772570615,0.08994721799297345,0.88
Day 9,0.059400100001546725,0.07894017747771445,0.88
Day 10,0.052332007291747994,0.06894341073109385,0.96
Day 11,0.048548650493218444,0.060168741621480996,0.84
Day 12,0.05059751549051894,0.06558005269631177,0.92
Day 13,0.0495722970070057,0.06612682015317002,0.88
Day 14,0.04975246338591208,0.06332351419428724,0.86
Day 15,0.054359982029445794,0.06849995927467141,0.88
Day 16,0.05425416021706336,0.0688719299624727,0.76
Day 17,0.039432108995702216,0.05314422909972032,0.76
Day 18,0.050846291364525474,0.06679767370580454,0.96
Day 19,0.05605893758341773,0.06903090365562038,0.8
