Day,RMSTE,RMSRE,Accuracy
Day 0,0.09852352861935532,0.12046821758819903,0.6
Day 1,0.09738117134227878,0.1188148171150665,0.8
Day 2,0.08982823480860828,0.1135865290971867,0.88
Day 3,0.08436488493239991,0.10716130376837447,0.82
Day 4,0.09257281343858122,0.11493952514331535,0.74
Day 5,0.08503221596211369,0.10617825489773498,0.84
Day 6,0.08470904961683112,0.09956980885503158,0.84
Day 7,0.08422303422011325,0.10589871839205282,0.76
Day 8,0.08469763107506703,0.10942871999291277,0.84
Day 9,0.08617644881439186,0.10795498447965375,0.74
Day 10,0.07511137424357855,0.09799616253093377,0.82
Day 11,0.09288485712774076,0.11235037369477809,0.74
Day 12,0.08646745330318721,0.10525568303071645,0.82
Day 13,0.08684341997062131,0.10783456122998641,0.76
Day 14,0.08936782619340704,0.11080220596183694,0.74
Day 15,0.0944067078648822,0.11858528715580093,0.78
Day 16,0.09426440718646069,0.11288222934789863,0.76
Day 17,0.07334835091139075,0.09443549744215524,0.72
Day 18,0.08158699575710698,0.09990305474369583,0.84
Day 19,0.09101329900262187,0.11035990397810466,0.7
