Day,RMSTE,RMSRE,Accuracy
Day 0,0.09495228252515521,0.11344731136025364,0.82
Day 1,0.07991064315780458,0.1041503097772225,0.82
Day 2,0.08621553585600102,0.10513487429664874,0.82
Day 3,0.0821475836733685,0.09457699911797285,0.86
Day 4,0.08716763270917187,0.10902290473895593,0.88
Day 5,0.07626028044083656,0.09106826810577086,0.78
Day 6,0.08712611127931028,0.10705108703628125,0.76
Day 7,0.08605855339003296,0.10129209428901267,0.84
Day 8,0.09567644543939453,0.11016922772654024,0.74
Day 9,0.09193919345661154,0.11012331463241955,0.68
Day 10,0.08193439154210039,0.10105093358340764,0.74
Day 11,0.0947776881602092,0.1120235278895795,0.74
Day 12,0.08262580008344765,0.10361766587339935,0.76
Day 13,0.08248133627420219,0.10355168764710075,0.84
Day 14,0.08018530201221247,0.09774143587214688,0.8
Day 15,0.08161973863305758,0.10311485783147169,0.76
Day 16,0.09745314326743687,0.11722511472770591,0.78
Day 17,0.08743039119216002,0.10800986617331239,0.88
Day 18,0.08475233060415821,0.10054624867140238,0.72
Day 19,0.08485763141492957,0.09967756269971728,0.72
