Day,RMSTE,RMSRE,Accuracy
Day 0,0.08469664591037021,0.10834196389996761,0.72
Day 1,0.08149575145961757,0.09914586745501593,0.74
Day 2,0.07229868527797281,0.09059937851333208,0.8
Day 3,0.08247944926262664,0.1042828159272641,0.8
Day 4,0.0951535326866337,0.12804086710487916,0.74
Day 5,0.08564514743479239,0.11047593598992007,0.86
Day 6,0.07549461175956965,0.0919329493753726,0.94
Day 7,0.08178744398545128,0.09868266556241785,0.88
Day 8,0.08468140420380403,0.09922315269998849,0.74
Day 9,0.07084839050719356,0.08892251420404215,0.86
Day 10,0.07834364087733674,0.09716744816947469,0.92
Day 11,0.07027834883858454,0.08775847143487261,0.78
Day 12,0.08433254530017205,0.10240582353494825,0.76
Day 13,0.08282419570618627,0.09840695999057844,0.72
Day 14,0.08861971833685822,0.10222470970263842,0.9
Day 15,0.08074965560847444,0.09569566217471367,0.88
Day 16,0.08042079621681318,0.09408651026174049,0.9
Day 17,0.0935139896358682,0.11666483372487607,0.78
Day 18,0.06852426001882292,0.08672782386484622,0.78
Day 19,0.08733285424065115,0.1063721503472029,0.84
