Day,RMSTE,RMSRE,Accuracy
Day 0,0.08487954035057683,0.10666819702047618,0.86
Day 1,0.06725378059727403,0.08250545156521828,0.66
Day 2,0.08215826773166668,0.10616172010554356,0.64
Day 3,0.07914694793429923,0.10252344471286871,0.62
Day 4,0.07451843075774812,0.09226803684801047,0.74
Day 5,0.08084285239018571,0.09606951728842417,0.82
Day 6,0.08482492700254757,0.10609461199229162,0.6
Day 7,0.08741910048260029,0.11419663988077615,0.78
Day 8,0.0691923423121126,0.08913846145037396,0.74
Day 9,0.07689953062396049,0.09142459634700185,0.76
Day 10,0.08184723035661932,0.10161603564969604,0.76
Day 11,0.08034839536395881,0.10376069890856636,0.58
Day 12,0.08225306231635335,0.09997505243726976,0.88
Day 13,0.07685195418559532,0.09880601930912554,0.78
Day 14,0.07508733367219672,0.09972983910011465,0.76
Day 15,0.08986728247636307,0.11207790208297735,0.68
Day 16,0.09764885350078636,0.12141558105498966,0.76
Day 17,0.08218123283989008,0.10273749041043498,0.78
Day 18,0.07300412117637652,0.0897184734078992,0.72
Day 19,0.08796962439915704,0.10982364350273113,0.74
