Day,RMSTE,RMSRE,Accuracy
Day 0,0.12083051056369333,0.14828879060686742,0.84
Day 1,0.15934645910600198,0.20431385563974266,0.74
Day 2,0.14639413911171084,0.1856095574294351,0.78
Day 3,0.1395311945165597,0.16954159261401708,0.8
Day 4,0.14124701135056836,0.1760723556157637,0.82
Day 5,0.1364378960659616,0.17347012945930443,0.88
Day 6,0.17360637470750617,0.20316662890129664,0.62
Day 7,0.1375550387250502,0.17623801228799377,0.88
Day 8,0.12879252948995754,0.1691190371716931,0.76
Day 9,0.11917994282052716,0.15596048153460135,0.84
Day 10,0.16829512135802732,0.22270049381560852,0.56
Day 11,0.1499915409287953,0.17580731568645286,0.76
Day 12,0.11724905756885062,0.14777372694507487,0.82
Day 13,0.10740461805641326,0.14055599199254926,0.84
Day 14,0.16409080643559792,0.19916376687216333,0.76
Day 15,0.14327950564812506,0.1706621038661507,0.88
Day 16,0.1447581622956454,0.17732437166479625,0.78
Day 17,0.12652353903204336,0.1554200637805001,0.74
Day 18,0.1473732838996843,0.1735614598119203,0.76
Day 19,0.12151699965665438,0.15426618807024894,0.86
