MVerror: 0.27059182 TDerror: 0.22757421
¦Å	MV_onelayer	MV_twolayer	TD_onelayer	TD_twolayer
1.0	0.11502075	0.1156566	0.15987107	0.14415597
0.9	0.12408868	0.12419119	0.17302956	0.15255723
0.8	0.13334906	0.13418428	0.18607925	0.16508365
0.7	0.14376226	0.14318805	0.19812767	0.17488994
0.6	0.1550327	0.15387107	0.21144654	0.18505723
0.5	0.16600314	0.16607233	0.22290189	0.19530126
0.4	0.17857547	0.17852704	0.2339283	0.20977925
0.3	0.19064906	0.19053082	0.24441195	0.22359811
0.2	0.20338553	0.20397358	0.25426352	0.23675597
0.1	0.2165956	0.21631195	0.26366541	0.25400755
0.01	0.22818239	0.22817484	0.27097421	0.27064591
0.001	0.22879057	0.22898616	0.27255535	0.2684044
0.0	0.22941509	0.22980252	0.27262516	0.27291006
