example,worker,label
201,A17G2QHR8AH5VV,0
201,AADB14P6ZCSOC,1
201,A2NBP5OTOYX3WK,0
201,A3TSHG5R492EHU,0
201,A3OZ8KF0HWSVWK,0
401,A1SCNO7L71ITFY,0
401,A3TSHG5R492EHU,1
401,ARX0S1CIDJLOX,0
401,A29PMRCRJ7Q9ZD,0
401,A1OI81FMMZ26J7,0
202,AF3G0V1QQAU80,0
202,A3TSHG5R492EHU,0
202,A1SCNO7L71ITFY,0
202,A29PMRCRJ7Q9ZD,0
202,A2NBP5OTOYX3WK,0
402,A3OZ8KF0HWSVWK,0
402,A3QTDW5WP4GFKV,0
402,A3TSHG5R492EHU,0
402,A2N2KQXUPLNDWI,0
402,A1OI81FMMZ26J7,0
203,A1SCNO7L71ITFY,0
203,AF3G0V1QQAU80,0
203,A3TSHG5R492EHU,0
203,A1YW00TFC187CC,0
203,A2H3M1JVY991Q3,0
403,A2YBJXNHCSQ5PL,0
403,A2QNS7MODF0A2N,0
403,A2NBP5OTOYX3WK,0
403,A3QTDW5WP4GFKV,0
403,A3D8YDQP3CFFT,0
204,A2SB5KUOAGU70U,0
204,A3D8YDQP3CFFT,0
204,A3CFNUD7VR2E1E,0
204,A3TSHG5R492EHU,0
204,A2NBP5OTOYX3WK,0
404,A1SCNO7L71ITFY,0
404,A3TSHG5R492EHU,0
404,A2QNS7MODF0A2N,0
404,A1YW00TFC187CC,0
404,A3QTDW5WP4GFKV,0
205,AADB14P6ZCSOC,1
205,A1YW00TFC187CC,1
205,A29PMRCRJ7Q9ZD,1
205,A2QNS7MODF0A2N,0
205,A3TSHG5R492EHU,0
405,A3QTDW5WP4GFKV,0
405,A2NBP5OTOYX3WK,0
405,A1SCNO7L71ITFY,0
405,A17G2QHR8AH5VV,0
405,A3OZ8KF0HWSVWK,0
406,A1SCNO7L71ITFY,0
406,A3TSHG5R492EHU,0
406,A2QNS7MODF0A2N,0
406,A2H3M1JVY991Q3,0
406,A1264GOK2Z3WSE,0
407,A17G2QHR8AH5VV,0
407,A3CFNUD7VR2E1E,0
407,A3TSHG5R492EHU,0
407,A2H3M1JVY991Q3,0
407,A1SCNO7L71ITFY,0
206,A3OZ8KF0HWSVWK,0
206,A29PMRCRJ7Q9ZD,1
206,A17G2QHR8AH5VV,0
206,A2F0NZQ8F9ON8C,0
206,A2H3M1JVY991Q3,1
408,A3TSHG5R492EHU,1
408,A2D2UXKO4AWBO8,1
408,A1SCNO7L71ITFY,1
408,A2H3M1JVY991Q3,1
408,AB5C1BRQTC19Q,1
409,A3QTDW5WP4GFKV,0
409,A2QNS7MODF0A2N,0
409,A1YW00TFC187CC,0
409,A37TAQZGFFIPF6,0
409,A29PMRCRJ7Q9ZD,1
410,A1SCNO7L71ITFY,1
410,A29PMRCRJ7Q9ZD,1
410,A2QNS7MODF0A2N,1
410,AADB14P6ZCSOC,1
410,A3CMYDBINK8ZS2,1
207,A3TSHG5R492EHU,0
207,A2H3M1JVY991Q3,1
207,A2460QZM5TZC4V,1
207,ARX0S1CIDJLOX,1
207,A17G2QHR8AH5VV,0
